objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean,green_score,low_noise_score,low_complaints_score,urban_quality_index,urban_quality_rank,green_rank,noise_rank,complaints_rank,cluster,cluster_label
32,002,LA XEREA,012,1,32,LA XEREA,9,57574.10667330457,675,Servicios de limpieza en la vía pública,121,675,3.333333333333333,6,233736.0704450125,2.8918863577599634,15.262897036900162,44.44058104702098,76.19887165021157,42.29699462392983,44,34,57,46,3,Low-green comfort areas
33,005,EL MERCAT,015,1,33,EL MERCAT,5,6764.821960675488,773,Servicios de limpieza en la vía pública,139,773,3.3,5,131951.1674724322,2.441415631113623,1.793354461314211,60.58127786862476,72.74330042313116,40.71471527205246,50,74,20,50,3,Low-green comfort areas
34,004,EL PILAR,014,1,34,EL PILAR,6,2205.610900424471,607,Servicios prestados en vía pública,155,607,3.111111111111111,5,104612.76784052214,2.1610346475858595,0.584707501718865,70.62753433318227,78.59661495063469,45.00112778583264,29,82,13,45,0,Quiet low-complaint areas
38,002,EL PLA DEL REMEI,022,2,38,EL PLA DEL REMEI,7,40432.36973766768,735,Servicios de limpieza en la vía pública,115,735,3.3846153846153846,6,317311.75625191035,3.187086516548951,10.718622170998232,33.86334265425171,74.08321579689704,36.67141640374392,68,44,74,47,3,Low-green comfort areas
39,001,L'ILLA PERDUDA,131,13,39,L'ILLA PERDUDA,9,23917.827940013347,510,Vía pública reparación de deficiencias,90,510,3.4545454545454546,6,191360.55077754223,2.544900869310681,6.340616750967029,56.87332581658938,82.01692524682652,44.20332201941158,33,57,26,34,3,Low-green comfort areas
42,004,ARRANCAPINS,034,3,42,ARRANCAPINS,16,29667.76985261885,2461,Servicios prestados en vía pública,438,2461,3.1875,6,782012.7108197847,3.064539364656423,7.864926487603318,38.25429706714794,13.222849083215792,18.589114440150446,88,50,70,85,2,Low-comfort neighbourhoods
44,002,LA ROQUETA,032,3,44,LA ROQUETA,7,3251.094043480011,774,Servicios prestados en vía pública,138,774,3.4285714285714284,6,215355.47246438125,2.964942090243732,0.8618651075991888,41.82294052267576,72.70803949224259,34.70404004751518,74,79,64,51,3,Low-green comfort areas
53,001,LA RAIOSA,091,9,53,LA RAIOSA,9,14113.180710457113,1108,Servicios de limpieza en la vía pública,239,1108,3.5454545454545454,6,322536.30392298754,2.878336888293441,3.741404539182381,44.92606848453079,60.93088857545839,33.25364893366971,79,66,55,68,3,Low-green comfort areas
54,004,SAFRANAR,084,8,54,SAFRANAR,8,75535.4905401971,1076,Servicios de jardinería,208,1076,3.6,6,419506.42232150526,2.3874103830371625,20.024460323608213,62.516325551894084,62.0592383638928,45.38245330417935,28,27,17,66,3,Low-green comfort areas
202,003,SANT LLORENS,153,15,202,SANT LLORENS,19,114834.9640947373,583,Servicios de jardinería,101,583,3.0,6,1251147.971614477,2.413294451657613,30.44275168974153,61.588880371998336,79.44287729196051,54.48662797508427,13,12,18,41,3,Low-green comfort areas
56,002,EN CORTS,102,10,56,EN CORTS,11,14263.473310849333,981,Servicios de limpieza en la vía pública,223,981,3.0,6,423474.7061790488,3.4624810061150013,3.7812471110908055,23.995755928875624,65.40902679830748,28.33393366259125,83,65,84,63,3,Low-green comfort areas
59,003,MALILLA,103,10,59,MALILLA,25,259753.4221544057,2500,Servicios de limpieza en la vía pública,455,2500,3.642857142857143,6,2466327.827306323,3.2013091029060083,68.86063833906466,33.35373694442593,11.84767277856136,41.104678252522056,48,3,76,86,1,Green but pressured areas
21,003,JAUME ROIG,063,6,21,JAUME ROIG,5,5862.637842529622,444,Servicios prestados en vía pública,76,444,3.75,6,177362.5559387373,2.8610480869782995,1.5541854303169544,45.54553892718116,84.3441466854725,39.58857985592287,55,75,52,30,3,Low-green comfort areas
13,001,BENIMACLET,141,14,13,BENIMACLET,24,51567.70835480588,1803,Servicios de limpieza en la vía pública,342,1803,3.3846153846153846,6,646313.0740513843,2.727867284696662,13.670600701013408,50.31750483957111,36.424541607898455,31.490854214646234,81,39,41,81,2,Low-comfort neighbourhoods
23,004,CIUTAT UNIVERSITARIA,064,6,23,CIUTAT UNIVERSITARIA,8,32644.580871674112,272,Servicios prestados en vía pública,48,272,3.4,6,264329.81010463595,3.334135415452936,8.654079158958913,28.59447265945785,90.40902679830748,39.162681500913166,57,48,81,15,3,Low-green comfort areas
9,001,BENICALAP,161,16,9,BENICALAP,49,156144.45561209504,2836,Servicios de limpieza en la vía pública,584,2836,3.2666666666666666,6,1515142.5868350463,2.7713623133414145,41.39389886522133,48.759046033982436,0.0,31.185273356283265,82,8,44,88,2,Low-comfort neighbourhoods
12,005,SANT ANTONI,055,5,12,SANT ANTONI,9,7958.909779806084,423,Servicios de limpieza en la vía pública,86,423,3.2,6,210242.18159471895,2.597431587930111,2.109907170326671,54.99111160620217,85.08462623413259,42.86668422023109,41,72,30,28,3,Low-green comfort areas
31,002,MESTALLA,062,6,31,MESTALLA,25,184353.57543340852,1700,Servicios prestados en vía pública,285,1700,3.2857142857142856,6,787775.9689198331,3.295053433813222,48.87213719512531,29.994808751284182,40.056417489421726,40.5642227502619,52,6,79,77,1,Green but pressured areas
41,002,ALBORS,122,12,41,ALBORS,7,8101.160803742456,782,Servicios de limpieza en la vía pública,176,782,3.692307692307693,6,202487.0060296989,2.588469422589597,2.1476179201270007,55.31223256938495,72.42595204513398,39.18050255240648,56,71,29,52,3,Low-green comfort areas
35,003,L'AMISTAT,133,13,35,L'AMISTAT,9,27413.08893114318,603,Servicios de limpieza en la vía pública,124,603,3.7777777777777777,6,192635.90091411665,3.0950857294192486,7.267210522146531,37.159798393927886,78.73765867418899,37.67612132929367,64,54,72,44,3,Low-green comfort areas
29,004,BETERO,114,11,29,BETERO,16,52563.39919588882,557,Servicios de limpieza en la vía pública,142,557,3.363636363636364,6,240547.44715942585,2.9088205228289867,13.934558366466513,43.83381748140379,80.35966149506348,42.831867039526784,42,38,58,39,3,Low-green comfort areas
