objectid,codbarrio,nombre,coddistbar,coddistrit,barrio_unique_id,barrio_name_norm,green_spaces_count,green_area_total_m2,complaints_total,complaints_most_frequent_tema,complaints_most_frequent_tema_count,complaints_by_neighbourhood,noise_mean,noise_max,noise_intersection_area_m2,noise_area_weighted_mean
23,004,CIUTAT UNIVERSITARIA,064,6,23,CIUTAT UNIVERSITARIA,8,32644.580871674112,272,Servicios prestados en vía pública,48,272,3.4,6,264329.81010463595,3.334135415452936
9,001,BENICALAP,161,16,9,BENICALAP,49,156144.45561209504,2836,Servicios de limpieza en la vía pública,584,2836,3.2666666666666666,6,1515142.5868350465,2.7713623133414145
12,005,SANT ANTONI,055,5,12,SANT ANTONI,9,7958.909779806084,423,Servicios de limpieza en la vía pública,86,423,3.2,6,210242.18159471898,2.597431587930111
31,002,MESTALLA,062,6,31,MESTALLA,25,184353.57543340855,1700,Servicios prestados en vía pública,285,1700,3.2857142857142856,6,787775.9689198331,3.295053433813222
41,002,ALBORS,122,12,41,ALBORS,7,8101.160803742456,782,Servicios de limpieza en la vía pública,176,782,3.6923076923076925,6,202487.0060296989,2.5884694225895974
35,003,L'AMISTAT,133,13,35,L'AMISTAT,9,27413.08893114318,603,Servicios de limpieza en la vía pública,124,603,3.7777777777777777,6,192635.90091411662,3.0950857294192486
29,004,BETERO,114,11,29,BETERO,16,52563.39919588882,557,Servicios de limpieza en la vía pública,142,557,3.3636363636363638,6,240547.44715942585,2.9088205228289867
30,002,CABANYAL-CANYAMELAR,112,11,30,CABANYAL-CANYAMELAR,23,100775.75948281962,1776,Servicios de limpieza en la vía pública,361,1776,3.235294117647059,6,1151249.9969734587,2.53184859505634
137,005,LA CARRASCA,135,13,137,LA CARRASCA,25,114805.52888780998,372,Servicios de jardinería,62,372,3.4444444444444446,6,1644363.9319294444,2.6687485167418017
585,003,LA MALVA-ROSA,113,11,585,LA MALVA-ROSA,17,69911.07710329487,1984,Servicios prestados en vía pública,394,1984,3.230769230769231,6,670108.2942494579,2.494158941683143
27,004,LA VEGA BAIXA,134,13,27,LA VEGA BAIXA,9,19875.322195649227,584,Servicios de limpieza en la vía pública,104,584,3.5454545454545454,6,171001.83567292252,3.0498597155460434
43,001,AIORA,121,12,43,AIORA,19,61604.25307047517,1303,Servicios de limpieza en la vía pública,260,1303,3.25,6,512669.2583378047,2.215122422466113
76,002,CIUTAT JARDI,132,13,76,CIUTAT JARDI,22,76953.82075403558,1531,Contaminación acústica,401,1531,3.4545454545454546,6,349591.52622301696,2.8722182529143896
62,005,NATZARET,115,11,62,NATZARET,14,140635.83050195666,524,Servicios de limpieza en la vía pública,120,524,2.6666666666666665,5,706503.479705937,1.5726252345154856
74,006,LA PUNTA,106,10,74,LA PUNTA,13,125394.33023611283,504,Vía pública reparación de deficiencias,88,504,3.1904761904761907,6,5677823.8639108,2.612792033245263
75,001,EL GRAU,111,11,75,EL GRAU,17,71892.26838603376,1082,Servicios de limpieza en la vía pública,223,1082,2.7916666666666665,6,4569698.840302703,2.47642588954532
49,001,RUSSAFA,021,2,49,RUSSAFA,13,98215.27741893462,2659,Servicios prestados en vía pública,499,2659,3.3076923076923075,6,722151.3486581596,2.9399016145594175
45,003,LA GRAN VIA,023,2,45,LA GRAN VIA,9,87893.4979746524,757,Servicios de limpieza en la vía pública,125,757,3.4444444444444446,6,390527.4300423695,3.2025821043520843
